size,N,D,E,seed,nv,solver,obj,makespan,feasible,violations,wall_clock_s,skipped,n_assignments,skip_reason
Small,5,1,5,200,225,Greedy,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,5,200,225,GA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.25792860984802246,False,5.0,
Small,5,1,5,200,225,SA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.025027036666870117,False,5.0,
Small,5,1,5,200,225,TS,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.23809027671813965,False,5.0,
Small,5,1,5,200,225,QA_neal,5011.0,11.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 3}",5.1230950355529785,False,5.0,
Small,5,1,5,200,225,SBM,3010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 3}",0.018970251083374023,False,5.0,
Small,5,1,5,200,225,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Medium,20,3,3,42,1620,Greedy,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Medium,20,3,3,42,1620,GA,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.5140037536621094,False,20.0,
Medium,20,3,3,42,1620,SA,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.07799792289733887,False,20.0,
Medium,20,3,3,42,1620,TS,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.6750822067260742,False,20.0,
Medium,20,3,3,42,1620,QA_neal,11029.0,29.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 5, 'C4_spillover': 6}",65.61093068122864,False,20.0,
Medium,20,3,3,42,1620,SBM,20029.0,29.0,False,"{'C1_unassigned': 1, 'C1_double': 0, 'C2_overlap': 9, 'C4_spillover': 10}",0.995009183883667,False,19.0,
Medium,20,3,3,42,1620,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Medium,20,3,3,7,1620,Greedy,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Medium,20,3,3,7,1620,GA,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.4876575469970703,False,20.0,
Medium,20,3,3,7,1620,SA,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.07774782180786133,False,20.0,
Medium,20,3,3,7,1620,TS,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.7099430561065674,False,20.0,
Medium,20,3,3,7,1620,QA_neal,21028.0,28.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 10, 'C4_spillover': 11}",65.82828831672668,False,20.0,
Medium,20,3,3,7,1620,SBM,24029.0,29.0,False,"{'C1_unassigned': 2, 'C1_double': 0, 'C2_overlap': 12, 'C4_spillover': 10}",0.8901839256286621,False,18.0,
Medium,20,3,3,7,1620,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Medium,20,3,3,1234,1620,Greedy,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Medium,20,3,3,1234,1620,GA,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.4758133888244629,False,20.0,
Medium,20,3,3,1234,1620,SA,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.05841207504272461,False,20.0,
Medium,20,3,3,1234,1620,TS,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.8074989318847656,False,20.0,
